prodCd,refCode,searchCallPlanType,searchOrderby,title,badges,data,voice,sms,price_base,price_promo,url
PD00000006,PHONE,PROD_LTE_TYPE_ALL,4,소리사랑11,3G|통화편의|통화편의|개인정보보호,0MB,150분,50건,,12100,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000006
PD00000081,PHONE,PROD_LTE_TYPE_ALL,4,NEW 키즈표준,3G|청소년보호|청소년보호|개인정보보호|통화편의,,,,,11000,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000081
PD00000082,PHONE,PROD_LTE_TYPE_ALL,4,청소년 (구 공부의신),3G|추천|청소년보호|청소년보호|개인정보보호|통화편의,,,,,20900,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000082
PD00000083,PHONE,PROD_LTE_TYPE_ALL,4,NEW 청소년34,3G|추천|청소년보호|통화편의|개인정보보호,,,,37400,25300,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000083
PD00000084,PHONE,PROD_LTE_TYPE_ALL,4,LTE 청소년 데이터,LTE|청소년보호|청소년보호|청소년보호|통화편의,,,,,26400,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000084
PD00000085,PHONE,PROD_LTE_TYPE_ALL,4,NEW 청소년LTE34,LTE|추천|청소년보호|청소년보호|청소년보호|통화편의,,,,37400,29700,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000085
PD00000114,PHONE,PROD_LTE_TYPE_ALL,4,표준,3G|통화편의|통화편의|개인정보보호,0MB,0분,0건,,9790,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000114
PD00000129,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심300MB_3G,3G|통화편의|통화편의|개인정보보호,300MB,기본제공,기본제공,,31790,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000129
PD00000130,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심1.2GB_3G,3G|통화편의|통화편의|개인정보보호,1.2GB,기본제공,기본제공,,36300,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000130
PD00000131,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심2.2GB_3G,3G|추천|통화편의|통화편의|개인정보보호,2.2GB,기본제공,기본제공,,42900,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000131
PD00000132,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심3.5GB_3G,3G|통화편의|통화편의|개인정보보호,3.5GB,기본제공,기본제공,,48400,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000132
PD00000133,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심6.5GB_3G,3G|통화편의|통화편의|개인정보보호,6.5GB,기본제공,기본제공,,52800,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000133
PD00000134,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심300MB_LTE,LTE|통화편의|통화편의|개인정보보호,300MB,기본제공,기본제공,,31790,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000134
PD00000135,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심1.2GB_LTE,LTE|통화편의|통화편의|개인정보보호,1.2GB,기본제공,기본제공,,36300,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000135
PD00000136,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심2.2GB_LTE,LTE|통화편의|통화편의|개인정보보호,2.2GB,기본제공,기본제공,,42900,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000136
PD00000137,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심3.5GB_LTE,LTE|통화편의|통화편의|개인정보보호,3.5GB,기본제공,기본제공,,48400,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000137
PD00000138,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심6.5GB_LTE,LTE|통화편의|통화편의|개인정보보호,6.5GB,기본제공,기본제공,,52800,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000138
PD00000142,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심11GB_3G,3G|통화편의|통화편의|개인정보보호,11GB,기본제공,기본제공,,62700,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000142
PD00000145,PHONE,PROD_LTE_TYPE_ALL,4,데이터중심11GB_LTE,LTE|통화편의|통화편의|개인정보보호,11GB,기본제공,기본제공,,62700,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000145
PD00000209,PHONE,PROD_LTE_TYPE_ALL,4,LTE 온라인 500MB,LTE|통화편의|통화편의|개인정보보호,500MB,30분,0건,22000,11000,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000209
PD00000210,PHONE,PROD_LTE_TYPE_ALL,4,LTE 온라인 1GB,LTE|통화편의|통화편의|개인정보보호,1GB,50분,0건,27500,16500,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000210
PD00000211,PHONE,PROD_LTE_TYPE_ALL,4,LTE 온라인 2GB,LTE|통화편의|통화편의|개인정보보호,2GB,80분,50건,33000,22000,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000211
PD00000212,PHONE,PROD_LTE_TYPE_ALL,4,LTE 온라인 3GB,LTE|통화편의|통화편의|개인정보보호,3GB,120분,50건,38500,27500,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000212
PD00000213,PHONE,PROD_LTE_TYPE_ALL,4,공부 Level 1,3G|통화편의|통화편의|개인정보보호,,,,,17600,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000213
PD00000214,PHONE,PROD_LTE_TYPE_ALL,4,공부 Level 2,3G|통화편의|통화편의|개인정보보호,,,,,23100,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000214
PD00000215,PHONE,PROD_LTE_TYPE_ALL,4,공부 Level 3,3G|통화편의|통화편의|개인정보보호,,,,,28600,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000215
